name,brand,description,price,category,photos
"Hisense 55A6F3 55"" Bezelless Smart Android 4K UHD Google TV",Hisense,Latest Offers,"57,999৳",tv,https://www.startech.com.bd/image/cache/catalog/television/hisense/55a6f3/55a6f3-01-500x500.webp
Samsung 55CU8100 55 Inch Crystal 4K UHD HDR Smart TV,Samsung,Latest Offers,"70,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/43cu8100/43cu8100-01-500x500.webp
Xiaomi A Pro 55 Inch 4K UHD Smart Android Google TV (Global Version),XIAOMI,Latest Offers,"57,499৳",tv,https://www.startech.com.bd/image/cache/catalog/television/xiaomi/mi-a-pro/mi-a-pro-43-01-500x500.webp
Samsung 55DU7700 55 Inch Crystal 4K UHD Smart TV (Unofficial),Samsung,Latest Offers,"68,800৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/50du7700/50du7700-01-500x500.webp
Sony Bravia KD-43X75K 43 Inch 4K Ultra HD Smart Android LED TV,Sony,Latest Offers,"57,900৳",tv,https://www.startech.com.bd/image/cache/catalog/television/sony/bravia-kd-43x75/bravia-kd-43x75-001-500x500.webp
"Daewoo 50DM54UAB 50"" 4K Android Google Smart TV",Daewoo,Latest Offers,"60,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/daewoo/50dm54uab/50dm54uab-01-500x500.webp
Samsung 50AU7700 50 inch Crystal 4K UHD Smart TV,Samsung,Latest Offers,"57,900৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/50au7700/50au7700-01-500x500.webp
Sony Bravia KD-55X75K 55 Inch 4K Ultra HD Smart Android TV (Unofficial),Sony,Latest Offers,"80,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/sony/kd-55x75k/bravia-kd-55x75k-01-500x500.webp
Samsung 55DU8100 55 Inch Crystal 4K UHD Smart TV,Samsung,Latest Offers,"73,800৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/50du8100/50du8100-01-500x500.webp
"Smart SEL-55G25F 55"" 4K Voice Control Android Google TV",Smart,Latest Offers,"64,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/smart/sel-55g25f/sel-55g25f-500x500.webp
"Smart SEL-55V24K 55"" 4K Voice Control Android LED Smart TV",Smart,Latest Offers,"61,900৳",tv,https://www.startech.com.bd/image/cache/catalog/television/smart/sel-43v24k/sel-43v24k-001-500x500.webp
SINGER Primax S55-SLE55U5000GOTV 55 Inch 4K Android Google TV,SINGER,Latest Offers,"75,990৳",tv,https://www.startech.com.bd/image/cache/catalog/television/singer/sle43a5000gotv/sle43a5000gotv-01-500x500.webp
"Samsung 50CU7700 50"" Crystal 4K UHD Smart TV",Samsung,Latest Offers,"60,800৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/43cu7700/43cu7700-01-500x500.webp
Samsung 55AU7700 55 inch Crystal 4K UHD Smart TV,Samsung,Latest Offers,"65,800৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/50au7700/50au7700-01-500x500.webp
Samsung 55AU9000 55 Inch Crystal 4K UHD HDR Smart TV,Samsung,Latest Offers,"88,800৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/55au9000/55au9000-01-500x500.jpg
"Hisense 65A6F3 65"" Bezelless Smart Android 4K UHD Google TV",Hisense,Latest Offers,"89,500৳",tv,https://www.startech.com.bd/image/cache/catalog/television/hisense/65a6f3/65a6f3-01-500x500.webp
Samsung 55Q70C 55 Inch QLED 4K UHD Smart TV,Samsung,Latest Offers,"90,900৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/55q70c/q70c-01-500x500.webp
Sony Bravia KD-55X77L 55 Inch 4K Ultra HD Smart LED Google TV,Sony,Latest Offers,"94,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/sony/bravia-kd-75x77l/kd-75x77l-01-500x500.webp
"Daewoo 55DM55UQB 55"" 4K QLED Android Google Smart TV",Daewoo,Latest Offers,"76,500৳",tv,https://www.startech.com.bd/image/cache/catalog/television/daewoo/55dm55uqb/55dm55uqb-01-500x500.webp
Samsung 55DU7700 55 Inch Crystal 4K UHD Smart TV,Samsung,Latest Offers,"75,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/43du7700/43du7700-01-500x500.webp
Xiaomi A Pro 65 Inch 4K UHD Smart Android Google TV (Global Version),XIAOMI,Latest Offers,"79,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/xiaomi/mi-a-pro/mi-a-pro-43-01-500x500.webp
"Smart SEL-65S224KKS 65"" 4K Voice Control Android TV",Smart,Latest Offers,"76,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/smart/sel-65s224kks/sel-65s224kks-01-500x500.webp
Samsung 50CU8000 50 Inch Crystal 4K UHD HDR Smart TV,Samsung,Latest Offers,"70,800৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/43cu8000/43cu8000-01-500x500.webp
Sony Bravia KD-55X80L 55 Inch 4K Ultra HD Smart Android TV (Unofficial),Sony,Latest Offers,"98,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/sony/kd-65x80l/kd-65x80l-01-500x500.webp
"Smart SEL-65G25F 65"" 4K Voice Control Android Google TV",Smart,Latest Offers,"84,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/smart/sel-65g25f/sel-65g25f-500x500.webp
"Sony Bravia 3 K-55S30 55"" 4K UHD Google Smart TV (Unofficial)",Sony,Latest Offers,"108,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/sony/bravia-3-k-55s30/bravia-3-k-55s30-500x500.webp
Haier H65P7UX 65 Inch Voice Control HQLED 4K Smart Google TV,Haier,Latest Offers,"85,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/haier/h43p7ux/h43p7ux-01-500x500.webp
Sony Bravia KD-50X75K 50 Inch 4K Ultra HD Smart TV,Sony,Latest Offers,"74,900৳",tv,https://www.startech.com.bd/image/cache/catalog/television/sony/kd-55x75k/bravia-kd-55x75k-001-500x500.webp
Samsung 65CU8100 65 Inch Crystal 4K UHD HDR Smart TV,Samsung,Latest Offers,"113,900৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/43cu8100/43cu8100-01-500x500.webp
Sony Bravia KD-55X85L 55 Inch 4K UHD Google Assistant with Alexa Compatibility Smart TV (Unofficial),Sony,Latest Offers,"114,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/sony/bravia-kd-55x85l/bravia-kd-55x85l-05-500x500.webp
LG 65UR8050 65 Inch 4K UHD Smart TV,LG,Latest Offers,"120,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/lg-tv/65ur8050/65ur8050-01-500x500.webp
Haier H55S900UX 55 Inch QLED 4K Google TV,Haier,Latest Offers,"103,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/haier/h55s900ux/h55s900ux-01-500x500.webp
Sony Bravia KD-55X75K 55 Inch 4K Ultra HD Smart Android TV,Sony,Latest Offers,"94,900৳",tv,https://www.startech.com.bd/image/cache/catalog/television/sony/kd-55x75k/bravia-kd-55x75k-001-500x500.webp
Sony Bravia KD-43X80L 43 Inch 4K Ultra HD Smart TV,Sony,Latest Offers,"83,900৳",tv,https://www.startech.com.bd/image/cache/catalog/television/sony/kd-65x80l/bravia-kd-55x80l-001-500x500.webp
Sony Bravia 3 K-43S30 43 Inch 4K UHD Google TV,Sony,Latest Offers,"99,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/sony/k-43s30/k-43s30-001-500x500.webp
"Daewoo 65DM55UQB 65"" 4K QLED Android Google Smart TV",Daewoo,Latest Offers,"105,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/daewoo/65dm55uqb/65dm55uqb-01-500x500.webp
